time,user,filtered_emg,gesture
19.896,2,22,Hand is at Rest
19.996,2,20,Hand is at Rest
20.098,2,18,Hand is at Rest
20.198,2,28,Hand is at Rest
20.298,2,40,Hand is Moving
20.399,2,54,Hand is Moving
20.499,2,65,Hand is Moving
20.599,2,71,Hand is Moving
20.701,2,74,Hand is Moving
20.801,2,81,Hand is Moving
20.901,2,87,Hand is Moving
21.002,2,96,Hand is Moving
21.102,2,107,Hand is Moving
21.202,2,107,Hand is Moving
21.304,2,99,Hand is Moving
21.404,2,90,Hand is Moving
21.505,2,83,Hand is Moving
21.605,2,76,Hand is Moving
21.705,2,75,Hand is Moving
21.806,2,66,Hand is Moving
21.907,2,59,Hand is Moving
22.007,2,47,Hand is Moving
22.108,2,38,Hand is Moving
22.208,2,30,Hand is at Rest
22.308,2,28,Hand is at Rest
22.409,2,29,Hand is at Rest
22.51,2,27,Hand is at Rest
22.61,2,26,Hand is at Rest
22.711,2,24,Hand is at Rest
22.811,2,25,Hand is at Rest
22.912,2,30,Hand is at Rest
23.012,2,32,Hand is at Rest
23.112,2,33,Hand is at Rest
23.214,2,32,Hand is at Rest
23.314,2,31,Hand is at Rest
23.414,2,31,Hand is at Rest
23.515,2,33,Hand is at Rest
